City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,ilulissat,69.2167,-51.1,5.37,77,6,2.57,GL,1690437600
84,ennis,52.8436,-8.9864,18.17,90,96,6.05,IE,1690729200
85,keflavik,64.0049,-22.5624,13.24,75,70,3.88,IS,1690826400
86,macerata,43.2,13.1667,30.98,28,3,2.92,IT,1690729200
87,bilibino,68.0546,166.4372,14.17,59,100,4.5,RU,1690513200
88,thompson,55.7435,-97.8558,29.25,27,14,2.13,CA,1690826400
89,rabo de peixe,37.8,-25.5833,25.71,73,15,2.33,PT,1690815600
90,simitli,41.8833,23.1167,35.13,25,7,0.35,BG,1690718400
91,zhangye,38.9342,100.4517,37.91,11,0,6.45,CN,1690621200
92,caarapo,-22.6342,-54.8222,30.34,30,0,2.33,BR,1690826400
93,north bend,43.4065,-124.2243,19.43,60,1,5.22,US,1690826400
94,port mathurin,-19.6833,63.4167,23.86,75,31,5.38,MU,1690556400
95,longyearbyen,78.2186,15.6401,10.0,77,45,0.26,SJ,1690437600
96,alice springs,-23.7,133.8833,24.47,30,32,5.76,AU,1690783200
97,las khorey,11.1595,48.1967,35.49,44,100,2.65,SO,1690534800
98,aljezur,37.3191,-8.8033,26.13,46,0,6.46,PT,1690718400
99,saldanha,-33.0117,17.9442,15.91,61,97,4.55,ZA,1690459200
100,aripuana,-9.1667,-60.6333,39.93,16,46,1.19,BR,1690826400
101,fortaleza,-3.7227,-38.5247,29.2,58,15,7.38,BR,1690815600
102,horta,38.5333,-28.6333,24.23,79,8,2.77,PT,1690740000
103,iskateley,67.6803,53.1512,23.78,49,89,4.52,RU,1690718400
104,enewetak,11.3474,162.3373,28.53,79,100,6.33,MH,1690448400
105,kruisfontein,-34.0033,24.7314,22.62,27,8,2.47,ZA,1690545600
106,taulaga,-11.0553,-171.0883,28.38,76,70,6.74,AS,1690858800
107,papatowai,-46.5619,169.4708,12.93,65,100,3.42,NZ,1690772400
108,palikir - national government center,6.9248,158.1611,29.69,70,83,3.95,FM,1690437600
109,aras-asan,8.8908,126.3033,31.41,59,98,3.72,PH,1690858800
110,kimbe,-5.5502,150.1429,31.02,61,94,4.63,PG,1690437600
111,sumbe,-11.2061,13.8437,23.32,74,42,4.25,AO,1690459200
112,correntina,-13.3433,-44.6367,33.6,19,77,2.69,BR,1690653600
113,lihue,21.9789,-159.3672,27.24,62,37,5.36,US,1690502400
114,margate,51.3813,1.3862,20.5,69,100,6.91,GB,1690556400
115,saipan,15.1355,145.701,28.16,70,100,1.92,MP,1690794000
116,blackmans bay,-43.0167,147.3167,14.41,53,0,4.32,AU,1690513200
117,st. john's,47.5649,-52.7093,24.18,57,100,6.06,CA,1690480800
118,chonchi,-42.6128,-73.8092,12.68,88,100,5.58,CL,1690567200
119,akureyri,65.6835,-18.0878,16.43,54,84,2.23,IS,1690815600
120,tiksi,71.6872,128.8694,14.55,44,61,2.65,RU,1690858800
121,gemena,3.25,19.7667,34.77,37,61,1.22,CD,1690459200
122,kralendijk,12.15,-68.2667,27.91,86,82,7.34,BQ,1690858800
123,new norfolk,-42.7826,147.0587,15.37,51,2,4.64,AU,1690513200
124,beau vallon,-20.4189,57.6953,23.91,71,13,5.63,MU,1690794000
125,kapa'a,22.0752,-159.319,26.73,68,31,6.19,US,1690848000
126,kone,-21.0595,164.8658,24.2,44,3,3.52,NC,1690686000
127,karratha,-20.7377,116.8463,29.39,23,8,7.48,AU,1690783200
128,maumere,-8.6199,122.2111,27.7,63,15,2.27,ID,1690524000
129,cruzeiro do sul,-29.5128,-51.9853,23.75,66,38,1.0,BR,1690826400
130,la mira,18.035,-102.3266,32.98,59,15,3.97,MX,1690740000
131,klyuchi,52.2667,79.1667,31.88,26,67,2.97,RU,1690632000
132,heunghae,36.1125,129.3522,32.96,56,11,3.33,KR,1690524000
133,motueka,-41.1333,173.0167,15.0,57,3,0.54,NZ,1690772400
134,hithadhoo,-0.6,73.0833,28.74,76,22,5.9,MV,1690459200
135,beebe,35.0706,-91.8796,41.54,22,14,2.63,US,1690750800
136,tosu,33.3667,130.5167,37.55,33,79,1.19,JP,1690783200
137,santarem,-2.4431,-54.7083,37.24,30,6,2.42,BR,1690653600
138,pedro ii,-4.4247,-41.4586,35.32,22,0,3.68,BR,1690826400
139,afaahiti,-17.75,-149.2833,25.0,78,82,8.6,PF,1690848000
140,yerofey pavlovich,53.9667,121.9667,29.81,44,97,3.81,RU,1690437600
141,salinas,36.6777,-121.6555,26.74,36,7,3.73,US,1690750800
142,antofagasta,-23.65,-70.4,21.83,54,0,1.83,CL,1690642800
143,pacific grove,36.6177,-121.9166,16.89,74,35,4.22,US,1690740000
144,hermanus,-34.4187,19.2345,16.42,62,8,4.77,ZA,1690459200
145,altay,47.8667,88.1167,35.23,16,7,5.34,CN,1690448400
146,nicoya,10.1483,-85.452,31.68,55,16,1.98,CR,1690567200
147,jamestown,42.097,-79.2353,29.79,55,63,2.81,US,1690567200
148,severo-yeniseyskiy,60.3725,93.0408,24.09,44,99,1.39,RU,1690610400
149,mount gambier,-37.8333,140.7667,15.52,68,42,5.73,AU,1690599600
150,atbara,17.7022,33.9864,43.08,17,12,2.53,SD,1690642800
151,likasi,-10.9814,26.7333,33.62,11,5,1.54,CD,1690718400
152,mary,37.0,62.5,43.08,10,0,8.79,TM,1690459200
153,georgetown,5.4112,100.3354,30.46,74,40,1.61,MY,1690437600
154,machico,32.7,-16.7667,25.2,75,5,4.37,PT,1690642800
155,swakopmund,-22.6833,14.5333,22.9,26,0,1.48,NA,1690804800
156,coquimbo,-29.9533,-71.3436,19.17,64,2,3.08,CL,1690826400
157,olonkinbyen,70.9221,-8.7187,6.51,91,100,3.61,SJ,1690675200
158,necochea,-38.5473,-58.7368,16.88,56,100,5.97,AR,1690740000
159,crane,31.3974,-102.3501,38.2,22,6,7.86,US,1690837200
160,manta,-0.95,-80.7333,27.99,65,55,4.95,EC,1690740000
161,uturoa,-16.7333,-151.4333,26.67,80,41,8.78,PF,1690848000
162,okhotsk,59.3833,143.3,18.82,79,83,4.37,RU,1690437600
163,hami,42.8,93.45,43.03,5,0,2.03,CN,1690534800
164,karstadt,53.15,11.75,23.14,59,99,6.08,DE,1690632000
165,dwarka,22.2394,68.9678,28.81,79,52,10.15,IN,1690707600
166,port lincoln,-34.7333,135.8667,18.07,61,99,8.19,AU,1690437600
167,amga,60.8953,131.9608,25.06,41,100,2.83,RU,1690437600
168,cidreira,-30.1811,-50.2056,18.09,68,66,0.78,BR,1690815600
169,castro,-24.7911,-50.0119,23.11,48,93,1.66,BR,1690470000
170,egilsstadir,65.2653,-14.3948,16.5,52,65,2.21,IS,1690729200
